ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,label
1,304.838,305.238,305.677,306.048,306.472,306.962,307.49,308.122,308.845,309.828,310.958,312.364,314.049,316.107,318.443,321.031,323.79,326.662,329.939,333.956,339.486,347.684,360.572,381.598,415.06,469.775,558.705,700.342,920.815,1251.14,1713.06,2307.54,2990.6,3684.12,4308.6,4831.91,5224.28,5519.13,5734.89,5902.51,6.64337,5.96784,5.66182,5.59628,5.83384,6.41335,7.32106,8.67698,10.5325,12.9456,16.0504,20.0531,25.102,31.5026,39.6323,50.0719,63.6641,81.6903,105.844,138.348,181.842,240.094,317.27,419.222,552.344,724.318,942.515,1210.64,1524.93,1869.7,2199.94,2456.08,2576.87,2535.18,2354.92,2099.19,1812.83,1546.45,1317.78,1140.73,C1
2,324.362,324.819,325.321,325.822,326.374,326.955,327.634,328.362,329.157,330.186,331.358,332.719,334.369,336.281,338.479,340.911,343.531,346.335,349.532,353.492,358.909,366.775,379.06,398.572,429.813,480.483,562.122,691.947,892.757,1190.13,1604.26,2131.86,2736.78,3353.98,3912.66,4370.88,4726.95,5001.98,5201.04,5361.51,8.80777,7.68872,7.05143,6.70331,6.72221,7.08164,7.79575,8.91389,10.4679,12.5995,15.3378,18.9022,23.4456,29.2374,36.6408,46.1656,58.5971,75.0713,97.1456,126.699,166.237,219.02,288.886,380.899,501.189,656.083,852.001,1092.69,1374.01,1679.1,1971.28,2197.41,2306.35,2275.33,2119.35,1893.06,1641.99,1414.2,1217.08,1060.41,C1
3,310.465,310.891,311.377,311.827,312.342,312.881,313.455,314.081,314.73,315.524,316.334,317.319,318.472,319.831,321.495,323.433,325.703,328.244,331.021,334.097,337.727,342.337,348.945,358.773,374.358,399.839,440.768,506.61,610.226,769.372,1003.81,1329.41,1746.6,2233.46,2751.31,3244.54,3677.13,4033.08,4312.05,4530.61,6.92067,6.08932,5.572,5.31306,5.23861,5.42093,5.82544,6.50711,7.50589,8.82527,10.5809,12.8801,15.893,19.7233,24.6345,30.9027,38.8925,49.2472,62.7009,80.5498,104.308,136.297,178.977,235.521,310.105,407.834,533.837,693.269,888.134,1117.51,1368.21,1615.91,1822.34,1948.95,1970.79,1897.9,1746.56,1554.71,1368.72,1198.09,C1
4,311.865,312.302,312.849,313.374,313.98,314.598,315.244,315.849,316.411,317.102,317.796,318.562,319.471,320.558,321.875,323.499,325.424,327.656,330.179,332.789,335.665,338.662,342.457,347.574,355.433,367.865,387.837,420.434,472.052,552.371,673.605,849.451,1089.76,1387.52,1724.24,2066.73,2385.05,2667.45,2878.2,3053.49,6.32541,5.64489,5.21452,4.94859,4.81649,4.82328,4.94726,5.24375,5.73914,6.49979,7.56184,8.97864,10.8371,13.2313,16.2922,20.159,24.9445,30.9598,38.5617,48.3528,61.2867,78.5977,101.926,133.086,174.728,229.667,301.281,393.243,508.278,647.572,808.06,980.507,1140.62,1266.83,1333.61,1328.07,1271.08,1160,1055.07,950.558,C1
5,317.826,318.283,318.787,319.314,319.927,320.555,321.165,321.721,322.356,322.909,323.438,323.964,324.579,325.27,326.103,327.16,328.415,330.004,331.854,334.041,336.503,339.184,342.32,346.219,351.698,360.03,373.213,394.177,427.951,479.991,559.671,676.441,840.323,1058.69,1332.88,1655.29,2005.72,2359.59,2689.73,2979.97,7.04845,6.12043,5.45811,5.0036,4.70217,4.53349,4.43868,4.47586,4.69524,5.11398,5.78088,6.74494,8.04473,9.82006,12.1153,15.0884,18.9236,23.793,30.0259,37.9581,48.1241,61.5922,79.3754,103.082,134.811,176.956,232.288,304.099,395.506,509.433,645.738,801.832,970.396,1139,1288.71,1399.15,1456.08,1450.34,1393.48,1299.76,C1
6,329.174,329.658,330.169,330.684,331.254,331.857,332.424,332.977,333.511,334.098,334.682,335.294,335.945,336.753,337.649,338.761,340.122,341.794,343.723,346.017,348.502,351.4,354.608,358.464,363.731,371.578,383.778,403.139,433.901,481.629,555.05,663.168,817.394,1027.65,1299.48,1632.72,2009.86,2407.24,2798.36,3153.95,7.50896,6.45992,5.73868,5.21805,4.85188,4.66588,4.57272,4.64838,4.92271,5.37622,6.07367,7.02834,8.3595,10.0901,12.3721,15.3274,19.0976,23.9202,30.0313,37.8389,47.8578,60.8909,78.1803,101.214,132.074,173.125,227.25,297.673,387.879,501.106,638.826,799.929,979.692,1168.28,1347.78,1497.46,1595.02,1626.44,1592.92,1513.16,C1
7,330.723,331.189,331.692,332.211,332.773,333.385,333.989,334.519,335.052,335.621,336.204,336.841,337.58,338.352,339.287,340.393,341.776,343.465,345.481,347.814,350.419,353.298,356.43,360.133,365.038,372.124,382.804,399.456,425.47,465.524,526.686,618.506,752.535,944.932,1210.25,1559.35,1991.71,2485.55,2999.3,3502.69,6.63871,5.79376,5.22294,4.86803,4.59015,4.48652,4.44681,4.58122,4.88941,5.37549,6.07959,7.04307,8.39059,10.1519,12.4507,15.4263,19.2147,24.0682,30.1423,37.8924,47.7412,60.7594,77.8833,100.66,131.18,171.88,225.583,295.9,386.57,502.446,646.463,822.339,1029.77,1265.57,1515.8,1758.56,1961.03,2089.71,2129.78,2073.82,C1
9,304.375,304.724,305.113,305.5,305.965,306.516,307.098,307.7,308.305,308.979,309.632,310.272,310.909,311.604,312.368,313.255,314.29,315.515,316.975,318.7,320.658,322.84,325.355,328.412,332.491,338.457,347.513,361.678,383.807,417.393,468.057,541.935,647.408,795.105,999.807,1275.11,1634.99,2077.9,2589.34,3140.59,6.22573,5.36021,4.79632,4.44673,4.24261,4.20382,4.24907,4.41005,4.68433,5.05569,5.56418,6.28209,7.27785,8.62469,10.4035,12.7678,15.8733,19.8265,25.0168,31.6857,40.2533,51.6192,66.495,86.319,112.815,148.052,194.543,255.278,333.765,433.245,557.351,708.735,890.765,1103.37,1344.39,1603.23,1860.55,2086.21,2248,2327.81,C1
10,321.42,321.801,322.206,322.614,323.13,323.726,324.378,325.108,325.84,326.633,327.343,328.048,328.75,329.445,330.187,331.039,332.05,333.282,334.751,336.501,338.53,340.861,343.492,346.524,350.51,356.153,364.613,377.68,398.361,429.676,476.377,544.691,640.77,774.652,958.775,1205.4,1529.78,1936.83,2419.65,2950.26,7.07197,6.04739,5.33799,4.90862,4.68241,4.65238,4.70002,4.8714,5.10349,5.38745,5.80314,6.41031,7.26117,8.47161,10.1503,12.356,15.3061,19.0991,24.0395,30.3686,38.4611,49.1002,62.9338,81.3127,105.844,138.473,181.618,238.05,310.97,403.609,518.426,658.759,826.447,1023.97,1249.6,1495.78,1748.95,1981.98,2160.85,2272.84,C1
11,313.958,314.358,314.748,315.135,315.625,316.209,316.841,317.505,318.16,318.875,319.623,320.387,321.202,322.078,323.052,324.155,325.453,327.012,328.78,330.877,333.205,335.918,338.835,342.101,346.079,351.402,359.075,370.673,388.542,415.743,456.226,514.803,597.533,711.788,869.846,1087.61,1381.61,1769.33,2254.11,2821.97,7.18335,6.09607,5.36568,4.93057,4.66678,4.60301,4.66056,4.79746,5.0868,5.48212,6.05216,6.82623,7.81256,9.13607,10.8775,13.0948,15.974,19.6643,24.3204,30.2652,37.8836,47.5732,60.3076,77.0538,99.4625,129.364,169.013,221.089,288.563,375.006,482.851,615.852,777.622,971.559,1200.49,1462.94,1749.1,2038.88,2296.98,2489.74,D1
12,318.369,318.769,319.174,319.58,320.106,320.655,321.3,321.923,322.558,323.237,323.904,324.603,325.325,326.137,327.08,328.165,329.476,331.027,332.885,335.091,337.553,340.287,343.292,346.681,350.871,356.585,364.919,377.609,397.212,426.89,470.955,534.297,623.721,748.697,921.618,1158.17,1476.23,1883.74,2382.59,2945.31,7.68024,6.45907,5.63783,5.11936,4.79386,4.6716,4.66913,4.74997,5.02356,5.37018,5.91808,6.723,7.77212,9.18629,11.0219,13.4184,16.5159,20.404,25.3878,31.6342,39.5344,49.8988,63.2968,81.0453,104.788,136.439,178.371,233.294,304.294,394.691,507.523,646.091,814.07,1015.54,1249.8,1513.18,1792.6,2062.15,2291.15,2449.99,D1
14,314.153,314.508,314.915,315.315,315.81,316.395,317.011,317.669,318.345,319.056,319.822,320.562,321.392,322.274,323.247,324.346,325.637,327.194,328.979,331.071,333.501,336.072,338.946,342.141,346.028,351.166,358.55,369.817,387.141,413.96,454.005,512.17,594.901,710.101,869.888,1089.88,1389,1783.42,2280.97,2861.76,7.29161,6.17128,5.44283,4.9694,4.70724,4.63273,4.68027,4.81596,5.10092,5.50581,6.06538,6.81679,7.83046,9.15617,10.8821,13.1354,16.0012,19.7296,24.3822,30.3361,37.8825,47.724,60.466,77.3214,99.8852,129.974,170.007,222.603,290.886,378.549,488.515,623.986,789.061,987.939,1222.99,1492.44,1788.51,2086.96,2356.32,2557.99,D1
16,324.688,325.174,325.697,326.151,326.708,327.327,327.995,328.731,329.602,330.645,331.904,333.382,335.148,337.266,339.59,342.103,344.75,347.532,350.575,354.381,359.575,367.446,379.649,399.801,431.869,484.771,570.427,708.445,924.691,1249.65,1709.13,2304.76,2995.59,3701.06,4342.77,4871.25,5268.82,5558.87,5769.83,5929.45,7.04244,6.41879,6.13235,6.108,6.35075,6.91791,7.82884,9.11792,10.9171,13.2812,16.312,20.1914,25.1078,31.3121,39.2061,49.3778,62.6912,80.4291,104.292,136.406,179.599,237.133,313.689,414.603,546.801,718.177,935.683,1204.84,1522.59,1871.06,2209.98,2478.36,2608.96,2573.71,2392.69,2122.99,1825.52,1545,1309.34,1118.49,H1
