ID,R0,R1,E1_0,E1_1,W1_0,label
1,458.639494,13326.42837,2.79E-06,0.949097324,9800.196312,C0
2,312.5148763,4684.071068,3.93E-06,0.913723497,4508.562787,C0
3,1609.991351,2156.929206,5.92E-06,1,1510.87518,C0
4,290.2629475,5096.532931,1.41E-05,0.826620288,0.012788614,C0
5,277.154133,5224.531759,2.21E-05,0.779775053,109.6301695,C0
6,285.957747,4006.172338,1.56E-05,0.90165189,6560.760774,C0
7,280.3636745,5013.991687,2.20E-05,0.780791274,0.00812901,C0
8,470.1803342,8376.294721,2.58E-06,0.965977726,3161.86226,H0
9,482.284391,8636.961015,2.46E-06,0.965654476,1411.179243,H0
10,2528.08608,4501.19153,3.96E-06,0.999993327,3705.479932,H0
11,315.2609562,4459.043552,9.28E-06,0.939246435,3801.131178,H0
12,301.7129585,3995.415499,1.17E-05,0.926284963,4562.747752,H0
13,306.2079595,4120.718256,1.16E-05,0.913951886,5294.299928,H0
14,273.7678273,5078.73497,2.15E-05,0.779476821,102.7142785,H0
15,5060.429593,2965.141395,3.89E-05,0.659023702,2696.905899,I0
16,485.611848,9736.157368,3.11E-06,0.937534998,591.6042187,I0
17,296.1771762,5690.367901,1.21E-05,0.840101457,0.013134801,I0
18,279.6034264,5065.881678,1.48E-05,0.817938187,0.01330282,I0
19,279.7239432,4687.092005,1.29E-05,0.85206343,0.000636195,I0
20,281.1398326,5277.07862,1.94E-05,0.789820632,0.007605149,I0
21,283.3538281,5011.722205,1.92E-05,0.792569425,0.000219184,I0
22,469.9073761,5178.676496,3.06E-06,0.921446019,4893.485108,Z0
23,4050.063925,4176.460895,1.97E-05,0.612747144,2675.131043,Z0
24,320.9480836,5289.144985,9.02E-06,0.919239086,12973.01014,Z0
25,274.804248,5813.948296,1.22E-05,0.845404359,0.000273148,Z0
26,299.6515104,3976.725668,1.11E-05,0.898595498,5399.055487,Z0
27,301.6088445,4012.107914,1.12E-05,0.903545072,5163.304985,Z0
28,285.2374126,5072.001053,1.44E-05,0.819280339,0.008964535,Z0
29,293.0296274,5617.515904,5.48E-06,0.922954824,4967.737574,C1
30,285.0879175,5861.45324,8.69E-06,0.830182111,0.000278191,C1
31,275.5413759,5235.491649,1.51E-05,0.810780908,48.6925696,C1
32,302.2686325,2930.951613,2.14E-05,0.887938854,10869.73022,C1
33,307.4933854,3108.490207,3.04E-05,0.88704397,3790.73895,C1
34,316.8480615,3607.885143,3.25E-05,0.870113035,10917.2877,C1
35,316.2524262,4265.604165,3.05E-05,0.906132266,5564.540973,C1
36,299.6992367,4297.164345,4.58E-05,0.892888775,7581.371163,C1
37,317.3092966,5589.442257,5.24E-06,0.935014578,4532.796873,H1
38,292.4985218,5825.283857,3.54E-05,0.88626688,9999.09096,H1
39,300.6559128,5331.108248,3.06E-05,0.898996369,9168.060254,H1
40,328.2503924,4022.72336,3.48E-05,0.881986484,5083.854946,H1
41,289.8863836,4484.030484,4.19E-05,0.883087012,7775.16407,H1
42,296.5570628,4449.465056,3.68E-05,0.89064307,7508.861607,H1
43,286.9350987,5069.542436,4.07E-05,0.900543125,9918.724443,H1
44,303.3678097,5697.233442,5.48E-06,0.936188501,3830.461555,I1
45,303.8842074,6321.497415,7.54E-06,0.855667074,0.012912614,I1
46,302.5218845,3987.44545,3.35E-05,0.821486688,6042.717727,I1
47,278.9599595,3027.725086,3.98E-05,0.847278639,5214.198883,I1
48,296.1061655,4456.063287,4.01E-05,0.908499236,7221.553518,I1
49,296.3127367,4576.875812,4.26E-05,0.884673101,12239.19973,I1
50,296.0557151,4448.080862,4.00E-05,0.875991587,8606.345877,I1
51,314.1479292,4365.959112,6.54E-06,0.921895406,17823.85362,Z1
52,322.4874523,4656.748589,6.24E-06,0.921827167,4277.725879,Z1
53,274.4944268,5702.041324,3.09E-05,0.88762716,9849.398401,Z1
54,270.9023887,6319.154992,2.89E-05,0.898089046,10227.50129,Z1
55,282.9852713,4060.924107,3.23E-05,0.88486639,6276.359218,Z1
56,273.5034971,6350.106615,4.01E-05,0.745454568,0.016597586,Z1
57,288.9261708,4611.681911,3.42E-05,0.892041558,9307.890639,Z1
58,291.7408434,4578.562296,3.59E-05,0.869519209,9348.109739,Z1
