ID,R0,R1,E1_0,E1_1,W1_0,W1_1,label
37,471.8359297,5017.859999,2.07E-05,0.748836206,96.05022997,0.197683628,0
38,513.4840155,3800.818548,1.11E-05,0.922320344,6108.847481,20.38119216,0
39,509.8964692,4793.756274,1.90E-05,0.761537835,86.81492684,0.173203407,0
40,509.5946444,4835.272918,2.03E-05,0.744246698,86.3861402,0.180734936,0
41,459.5019814,4109.371086,8.02E-06,0.920483988,5085.262764,20.46645604,0
42,418.5611309,5100.450884,1.44E-05,0.77184276,59.09474745,0.138745722,0
43,398.0795696,4113.477406,1.23E-05,0.906889402,5849.083518,23.08517838,0
44,397.6767007,4739.695142,1.42E-05,0.849953055,0.015232615,1.89E-05,0
45,479.7972267,4496.869015,8.23E-06,0.918153257,4093.629723,20.34923575,0
46,480.3008661,4446.981221,7.94E-06,0.925643368,4005.897634,20.12544222,0
47,451.9213367,4909.20902,2.27E-05,0.746254629,106.9676664,0.212040433,0
48,433.8668946,4935.535066,2.26E-05,0.735663389,106.0296896,0.20498889,0
49,418.1229231,5468.710924,1.74E-05,0.75700661,0.000410542,7.43E-07,0
50,457.9450212,4023.950817,1.08E-05,0.89410509,7050.816802,22.92738625,0
51,391.6421435,3729.991269,1.29E-05,0.911569442,4889.815043,20.42465837,0
52,390.5987428,3941.387658,1.33E-05,0.906110436,4674.009713,15.52445649,0
53,432.7690318,4251.397262,8.20E-06,0.90822644,4775.406499,22.76514777,0
54,436.8668932,4137.527407,7.36E-06,0.932115468,3893.893389,18.60958865,0
55,545.2773571,6834.682136,7.17E-05,0.770482726,615.1307342,1.051062184,1
56,538.6341519,4010.620861,6.80E-05,0.930171421,12339.84694,25.69074221,1
57,476.4703997,3987.587634,5.91E-05,0.88788606,11628.82882,27.88677726,1
58,469.1914348,4166.576108,5.60E-05,0.918739399,10722.62615,19.7077607,1
59,417.6099919,8791.064738,5.28E-05,0.778632295,730.5372754,0.945746959,1
60,412.6636082,5006.905074,4.98E-05,0.920593183,16870.75812,32.75949277,1
