ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,label
3,6.92067,6.08932,5.572,5.31306,5.23861,5.42093,5.82544,6.50711,7.50589,8.82527,10.5809,12.8801,15.893,19.7233,24.6345,30.9027,38.8925,49.2472,62.7009,80.5498,104.308,136.297,178.977,235.521,310.105,407.834,533.837,693.269,888.134,1117.51,1368.21,1615.91,1822.34,1948.95,1970.79,1897.9,1746.56,1554.71,1368.72,1198.09,C_1
4,6.32541,5.64489,5.21452,4.94859,4.81649,4.82328,4.94726,5.24375,5.73914,6.49979,7.56184,8.97864,10.8371,13.2313,16.2922,20.159,24.9445,30.9598,38.5617,48.3528,61.2867,78.5977,101.926,133.086,174.728,229.667,301.281,393.243,508.278,647.572,808.06,980.507,1140.62,1266.83,1333.61,1328.07,1271.08,1160,1055.07,950.558,C_1
5,7.04845,6.12043,5.45811,5.0036,4.70217,4.53349,4.43868,4.47586,4.69524,5.11398,5.78088,6.74494,8.04473,9.82006,12.1153,15.0884,18.9236,23.793,30.0259,37.9581,48.1241,61.5922,79.3754,103.082,134.811,176.956,232.288,304.099,395.506,509.433,645.738,801.832,970.396,1139,1288.71,1399.15,1456.08,1450.34,1393.48,1299.76,C_1
6,7.50896,6.45992,5.73868,5.21805,4.85188,4.66588,4.57272,4.64838,4.92271,5.37622,6.07367,7.02834,8.3595,10.0901,12.3721,15.3274,19.0976,23.9202,30.0313,37.8389,47.8578,60.8909,78.1803,101.214,132.074,173.125,227.25,297.673,387.879,501.106,638.826,799.929,979.692,1168.28,1347.78,1497.46,1595.02,1626.44,1592.92,1513.16,C_1
7,6.63871,5.79376,5.22294,4.86803,4.59015,4.48652,4.44681,4.58122,4.88941,5.37549,6.07959,7.04307,8.39059,10.1519,12.4507,15.4263,19.2147,24.0682,30.1423,37.8924,47.7412,60.7594,77.8833,100.66,131.18,171.88,225.583,295.9,386.57,502.446,646.463,822.339,1029.77,1265.57,1515.8,1758.56,1961.03,2089.71,2129.78,2073.82,C_1
8,7.08243,6.01769,5.30227,4.84429,4.59191,4.52814,4.56944,4.744,5.03313,5.38239,5.89114,6.59233,7.55312,8.87912,10.6309,12.9721,15.9959,19.9313,25.0267,31.5607,39.9674,51.0905,65.6684,85.0586,110.964,145.435,191.03,250.572,327.601,425.209,546.928,695.498,875.387,1084.71,1322.12,1579.86,1839.05,2075.92,2259.52,2371.25,C_1
9,6.22573,5.36021,4.79632,4.44673,4.24261,4.20382,4.24907,4.41005,4.68433,5.05569,5.56418,6.28209,7.27785,8.62469,10.4035,12.7678,15.8733,19.8265,25.0168,31.6857,40.2533,51.6192,66.495,86.319,112.815,148.052,194.543,255.278,333.765,433.245,557.351,708.735,890.765,1103.37,1344.39,1603.23,1860.55,2086.21,2248,2327.81,C_1
10,7.07197,6.04739,5.33799,4.90862,4.68241,4.65238,4.70002,4.8714,5.10349,5.38745,5.80314,6.41031,7.26117,8.47161,10.1503,12.356,15.3061,19.0991,24.0395,30.3686,38.4611,49.1002,62.9338,81.3127,105.844,138.473,181.618,238.05,310.97,403.609,518.426,658.759,826.447,1023.97,1249.6,1495.78,1748.95,1981.98,2160.85,2272.84,C_1
17,5.94675,5.22406,4.76193,4.43113,4.24255,4.17031,4.19637,4.32633,4.61593,5.09601,5.77711,6.75977,8.05169,9.76192,12.0331,14.9091,18.5783,23.2196,29.085,36.5275,46.104,58.2834,74.3742,95.7442,124.419,162.773,213.804,281.055,369.076,482.523,626.464,805.873,1024.88,1284.51,1582.09,1905.88,2234.35,2533.35,2759.68,2883.31,H_1
18,6.68915,5.85786,5.33024,5.00245,4.81327,4.76808,4.80582,4.97763,5.27227,5.75868,6.45856,7.45685,8.84201,10.6722,13.0546,16.1115,20.0102,24.9303,31.1102,38.9912,49.2174,62.5132,80.1699,103.833,135.626,178.063,234.344,308.291,404.652,528.553,684.504,878.062,1112.03,1385.77,1689.11,2003.61,2297.87,2529.39,2666.91,2687.94,H_1
19,6.91965,5.98767,5.35293,4.95747,4.68161,4.57391,4.54043,4.63843,4.91291,5.3538,6.03829,7.0276,8.36682,10.1553,12.4857,15.4736,19.2598,24.052,30.1371,37.8047,47.7169,60.3632,77.1238,99.4269,129.365,169.397,222.636,292.84,384.221,501.915,650.842,835.556,1059.58,1323.43,1621.59,1940.65,2256.33,2533.05,2728.38,2829.22,H_1
20,6.18423,5.43008,4.95112,4.63964,4.46057,4.38978,4.43971,4.56794,4.84305,5.31635,5.97785,6.97018,8.26046,10.0182,12.3081,15.2522,18.988,23.7074,29.6504,37.1405,46.7725,59.0725,75.3349,96.9894,125.983,164.64,215.721,282.554,368.719,477.863,612.629,774.561,961.856,1170.16,1386.45,1593.94,1766,1881.29,1921.18,1886.56,H_1
21,7.1727,6.11644,5.43811,5.0252,4.79793,4.7754,4.85253,5.04257,5.30758,5.68611,6.24455,6.99931,8.0425,9.47658,11.3825,13.8979,17.1494,21.3059,26.613,33.381,42.1126,53.3066,68.1013,87.6905,113.905,148.83,194.955,255.2,333.084,431.921,554.454,704.039,884.036,1093.84,1332.88,1587.75,1841.64,2061.5,2217.88,2284.89,H_1
22,7.07376,6.06537,5.43501,4.98377,4.67267,4.53839,4.48546,4.51976,4.6594,4.97642,5.46855,6.28309,7.42802,8.96278,11.0647,13.8071,17.3668,21.9244,27.7845,35.2176,44.722,57.2091,73.5679,95.2533,124.272,162.854,213.802,280.23,366.054,474.551,609.599,774.001,970.572,1197.75,1449.87,1707.9,1950.27,2141.73,2252.89,2285.24,H_1
23,6.86987,5.85921,5.13343,4.66982,4.39068,4.26312,4.24107,4.3285,4.52469,4.89073,5.38937,6.12396,7.17795,8.58877,10.4655,12.9498,16.1594,20.3589,25.7185,32.6441,41.5291,53.2179,68.517,88.7208,115.722,151.582,198.908,260.715,340.729,442.739,570.243,728.552,922.579,1154.95,1426.37,1728.91,2042.22,2336.23,2567.78,2715.9,H_1
26,6.64672,5.98793,5.57826,5.42701,5.5122,5.93457,6.66319,7.79273,9.35814,11.4284,14.1162,17.6028,22.0202,27.6534,34.8538,44.1031,56.1118,71.9758,93.1005,121.447,159.494,210.158,277.476,366.589,483.26,634.505,826.977,1066.03,1352.47,1674.88,2000.27,2281.56,2456.12,2482.29,2360.79,2130.39,1872.61,1598.76,1365.07,1164.86,I_1
27,7.07853,6.1531,5.5965,5.174,4.91256,4.82291,4.83757,4.98037,5.32714,5.89334,6.73337,7.84911,9.37201,11.3729,14.0019,17.3469,21.6249,27.0572,33.8531,42.5129,53.7077,68.3746,87.9111,114.048,149.083,195.642,256.876,336.315,437.602,563.963,715.45,889.566,1077.82,1266.58,1433.5,1558.73,1626.23,1629.36,1583.12,1507.44,I_1
28,6.62175,5.68646,5.08922,4.69972,4.44222,4.34778,4.36014,4.48151,4.78476,5.28904,6.02795,7.05438,8.40031,10.2286,12.6098,15.6655,19.623,24.7506,31.2494,39.6652,50.5571,64.8896,83.8589,109.244,143.176,188.318,247.894,325.886,426.202,553.978,712.72,904.402,1129.18,1379.73,1640.92,1886.48,2084.71,2206.62,2240.43,2199.51,I_1
